ACE-Step-1.5	1d9b22c
EXOCORTEX	ae40f14
INTEGRATION_GUIDES	ca29e31
SuperInstance-papers	93aafa9
base60-lattice	1ff5842
cns-bridge	02ab195
cocapn-dashboard	e9dd884
collective-unconscious	2065a2d
compaction-teacher	0a36361
confidence-cascade	cdc6973
covers	0b5a13c
dual-band-guard	e088e64
elephant	ba67482
emergence-engine	59f2d9f
fleet-connections	0668cbb
fleet-dashboard	f165653
fleet-envelope	2b15415
fleet-inventory	6dcb3e8
fleet-jepa-midi	6852750
fleet-memory	1b68f68
fleet-radio	3230239
fleet-wiki	36c80b3
forgemaster	e3f1a12
gossip-ping	754226e
hermes-cloudflare	e8e238d
hermes-nmi	fa7d3d2
hermes-perception	3210b4b
hermes-reader	05e983f
luciddreamer-ai	a7f126a
luciddreamer-prototype	1fb10bc
luciddreamer-research	54dea6c
lucineer-brain	141eefb
lucineer-creative	e67c178
lucineer-memory	b608500
lucineer-roblox	0703643
lucineer-system	9fc441c
lucineer-vector	ff5d102
lucineer-worker	3f26dde
mud-arena	9c3bf5f
mud-engine	9ec0ca6
mud2scummvm	ffde672
officers-quarters	aa1144f
plainsong	1105f13
plato-portal	79ac73d
plato-vision-jepa	4b8f790
platonic-creative-suite	35156c0
platos-shell	0828566
platos-shell-ide	076688b
roblox-beatclock	37cdeac
roblox-bond-system	e2b9ca9
roblox-filtergate	c370bc2
room-render	e64633b
screen-agent	2858338
scummvm-arcade	63b83ba
scummvm-gui-design	50788da
scummvm-prototype	f7298fa
si-main	5dd3d27
si-readme	33f3363
silence-map	e500f96
spatial-registry	346dd32
stigmergy	dedbb8c
study-constraint-papers	0a4c390
study-fleet-yaw	b412202
study-flux-lucid	0122ebd
study-luciddreamer-vision	225c77b
study-oracle1	4e341e1
study-si-papers	47799c2
study-spreader-tool	24b1111
study-superz	d517b76
superinstance-profile	b5ff526
tap-frontend	14bc3ff
tapscript-studio	21cf3bb
technician	a852131
tensor-midi	3faadce
ternary-tenforward	35a0b80
terrain	3404433
the-living-minds	5a46d9a
the-tap	7a3703f
vessel-agent-system	9fdecdb
vessel-room-navigator	37d93aa
vibe-protocol	4a7edc2
voxel-logic	670acfe
wesley-curriculum	97a5ee8
wesley-holodeck	5936951
wesley-journal	f0baf34
wesleys-imagination	a527e97
zeroclaw	21bc2c7
zeroclaw-dissertation	d686a63
